Mag,Const,RA,Dec,Name,aka
-1.4,Canis Major,06:45:09,-16:42:47,α-CMa,Sirius
-0.6,Carina,06:23:57,-52:41:44,α-Car,Canopus
-0.0,Centaurus,14:39:40,-60:50:06,α-Cen,Rigil Kentaurus
0.0,Lyra,18:36:56,+38:46:58,α-Lyr,Vega
0.1,Auriga,05:16:41,+45:59:56,α-Aur,Capella
0.2,Bootes,14:15:40,+19:11:14,α-Boo,Arcturus
0.3,Orion,05:14:32,-08:12:05,β-Ori,Rigel
0.4,Canis Minor,07:39:18,+05:13:39,α-CMi,Procyon
0.5,Eridanus,01:37:42,-57:14:11,α-Eri,Achernar
0.6,Orion,05:55:10,+07:24:25,α-Ori,Betelgeuse
0.9,Aquila,19:50:46,+08:52:02,α-Aql,Altair
1.0,Taurus,04:35:55,+16:30:35,α-Tau,Aldebaran
1.1,Virgo,13:25:11,-11:09:40,α-Vir,Spica
1.1,Scorpius,16:29:24,-26:25:55,α-Sco,Antares
1.2,Gemini,07:45:19,+28:01:34,β-Gem,Pollux
1.2,Piscis Austrinus,22:57:38,-29:37:18,α-PsA,Fomalhaut
1.3,Crux,12:26:35,-63:05:56,α¹-Cru,Acrux
1.3,Cygnus,20:41:25,+45:16:49,α-Cyg,Deneb
1.4,Leo,10:08:22,+11:58:01,α-Leo,Regulus
1.8,Ursa Major,12:54:01,+55:57:35,ε-UMa,Alioth
1.8,Grus,22:08:13,-46:57:38,α-Gru,Alnair
1.8,Perseus,03:24:19,+49:51:40,α-Per,Mirfak
1.8,Sagittarius,18:24:10,-34:23:03,ε-Sgr,Kaus Australis
1.8,Vela,08:09:31,-47:20:11,γ²-Vel,
1.9,Triangulum Australe,16:48:39,-69:01:39,α-TrA,Atria
1.9,Pavo,20:25:38,-56:44:05,α-Pav,Peacock
2.0,Hydra,09:27:35,-08:39:30,α-Hya,Alphard
2.0,Ursa Minor,02:31:47,+89:15:50,α-UMi,Polaris
2.0,Aries,02:07:10,+23:27:45,α-Ari,Hamal
2.0,Cetus,00:43:35,-17:59:12,β-Cet,Diphda
2.1,Andromeda,00:08:23,+29:05:26,α-And,Alpheratz
2.1,Ophiuchus,17:34:56,+12:33:38,α-Oph,Rasalhague
2.1,Perseus,03:08:10,+40:57:20,β-Per,Algol
2.2,Puppis,08:03:35,-40:00:11,ζ-Pup,Naos
2.2,Ursa Major,13:23:55,+54:55:30,ζ-UMa,Mizar
2.2,Corona Borealis,15:34:41,+26:42:51,α-CrB,Alphecca
2.2,Draco,17:56:36,+51:29:20,γ-Dra,Eltanin
2.2,Cassiopeia,00:40:30,+56:32:13,α-Cas,Schedar
2.3,Lupus,14:41:55,-47:23:17,α-Lup,
2.4,Phoenix,00:26:17,-42:18:21,α-Phe,Ankaa
2.5,Cepheus,21:18:34,+62:35:07,α-Cep,Alderamin
2.5,Pegasus,23:04:45,+15:12:19,α-Peg,Markab
2.6,Lepus,05:32:43,-17:49:20,α-Lep,Arneb
2.6,Corvus,12:15:48,-17:32:31,γ-Crv,Gienah
2.6,Serpens Caput,15:44:16,+06:25:32,α-Ser,Unukalhai
2.6,Musca,12:37:11,-69:08:08,α-Mus,
2.7,Columba,05:39:38,-34:04:27,α-Col,Phact
2.7,Libra,14:50:52,-16:02:30,α²-Lib,Zubenelgenubi
2.8,Hercules,16:30:13,+21:29:22,β-Her,Kornephoros
2.8,Hydrus,00:25:55,-77:15:10,β-Hyi,
2.8,Ara,17:31:50,-49:52:34,α-Ara,
2.8,Tucana,22:18:30,-60:15:34,α-Tuc,
2.9,Capricornus,21:47:02,-16:07:42,δ-Cap,
2.9,Canes Venatici,12:56:01,+38:19:07,α²-CVn,Cor Caroli
2.9,Aquarius,22:05:47,-00:19:11,α-Aqr,Sadalmelik
3.1,Indus,20:37:34,-47:17:28,α-Ind,
3.1,Lynx,09:21:03,+34:23:33,α-Lyn,
